Reference;Centroid;TotalHeight;NumberOfFloors;FootprintArea;GrossFloorArea;RoofArea;TotalEnvelopeArea;ExteriorEnvelopeArea;AdjoiningEnvelopeArea;NorthExteriorEnvelopeArea;SouthExteriorEnvelopeArea;WestExteriorEnvelopeArea;EastExteriorEnvelopeArea;YearOfConstruction;Use;ProtectionDegree;Refurbished;WindowPercentage;ParcelID;Volume;DistrictCentroid;EnergySystem;BoilerPower;NumberOfDwellings;BoilerType;NumberOfBoiler
3735607.0;51.22003017609748#4.398113903913851;14.38;5;104.0;520.0;104.0;629.2235409683092;350.8931502320785;278.3303907362307;157.64818359741315;118.29047937139056;0.0;74.95448726327474;0;null;null;false;0.0;null;1495.52;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
5321014.0;51.22060122635104#4.3988520443432435;16.97;5;85.0;425.0;85.0;768.2058777918011;140.7892790824462;627.4165987093548;88.07648454013109;0.0;52.71279454231511;0.0;0;null;null;false;0.0;null;1442.4499999999998;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735595.0;51.22018484184364#4.398067364829939;14.83;5;65.0;325.0;65.0;499.0680894671167;215.82698307061244;283.2411063965042;91.04048394480927;87.29798961165464;37.48850951414855;0.0;0;null;null;false;0.0;null;963.95;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
5320940.0;51.22026676314426#4.3982761785137034;18.11;6;47.0;282.0;47.0;494.3357667928914;247.46039793071208;246.8753688621793;125.48972050699133;111.02613442685481;4.3519686905332815;6.592574306332651;0;null;null;false;0.0;null;851.17;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3736153.0;51.21837379360437#4.400011143789146;16.13;5;380.0;1900.0;380.0;1461.3610123770982;818.8174034989283;642.5436088781698;163.56136044958885;428.25827649526656;41.29724767245483;185.70051888161814;0;null;null;false;0.0;null;6129.4;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735603.0;51.218845509251956#4.398090346536195;14.34;5;44.0;220.0;44.0;426.9924277603143;135.1510105347895;291.84141722552476;74.62686279224484;60.42755754546784;0.09659019707680727;0.0;0;null;null;false;0.0;null;630.96;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
5321010.0;51.21845524460206#4.39797896717426;16.4;5;1085.0;5425.0;1085.0;2946.9095469611575;1114.4587380055043;1832.4508089556532;115.16987174831493;442.5200030590515;37.98950350210114;518.7793596960366;0;null;null;false;0.0;null;17794.0;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3736032.0;51.21852147848023#4.399535806021673;16.21;5;38.0;190.0;38.0;408.80500868975423;154.8356766917938;253.96933199796044;83.21138009846754;45.417226220471576;13.68449110207959;12.522579270775097;0;null;null;false;0.0;null;615.98;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3736129.0;51.22000291850119#4.3998497706680055;19.36;6;77.0;462.0;77.0;833.72213894261;406.7878094355886;426.9343295070213;96.94864591122132;0.0;0.0;309.8391635243673;0;null;null;false;0.0;null;1490.72;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3736270.0;51.219038802865384#4.400261769535782;17.4;6;46.0;276.0;46.0;580.3228082021346;83.71091012504858;496.6118980770861;13.416443487606017;0.0;3.3134853170866734;66.9809813203559;0;null;null;false;0.0;null;800.4;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735329.0;51.21874007932955#4.397137365922634;12.7;4;75.0;300.0;75.0;473.68263988492623;259.5061227142495;214.17651717067673;100.29980986417112;0.0;92.34034302664907;66.8659698234293;0;null;null;false;0.0;null;952.5;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735470.0;51.21822119950718#4.397610211277964;16.83;5;65.0;325.0;65.0;717.3093105153229;223.435701560572;493.87360895475086;77.22698481173795;70.84043946191515;0.0;75.3682772869189;0;null;null;false;0.0;null;1093.9499999999998;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735567.0;51.21925865925927#4.3980717669048826;17.77;6;274.0;1644.0;274.0;1450.0096783713607;708.7647351447861;741.2449432265746;36.91175430589334;107.26538000927133;242.28587006681556;322.3017307628059;0;null;null;false;0.0;null;4868.98;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735446.0;51.21983102847813#4.397509554711904;16.77;5;49.0;245.0;49.0;515.8647062992927;152.5183304655584;363.3463758337343;71.78804609014405;80.73028437541434;0.0;0.0;0;null;null;false;0.0;null;821.73;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
5320912.0;51.21967495876563#4.397352134197665;13.71;4;43.0;172.0;43.0;370.1364192459321;84.57655722304024;285.5598620228918;73.42611353175181;2.4068540139354972;8.74358967735293;0.0;0;null;null;false;0.0;null;589.5300000000001;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735684.0;51.22038316463877#4.3983214791171115;16.91;5;44.0;220.0;44.0;467.95619074634646;212.92555122920967;255.03063951713682;95.48318051537112;91.761254142869;16.25796994612284;9.423146624846709;0;null;null;false;0.0;null;744.04;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3736004.0;51.218718590608596#4.399500150080975;17.51;6;48.0;288.0;48.0;531.0804750411887;150.96869250747838;380.1117825337103;41.4030871577358;12.47748960376919;73.37767452220041;23.710441223772982;0;null;null;false;0.0;null;840.48;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
